Name (NIST),TepA2,TepA3,TepA4,TepA5,TepA6,TepA7,TepA8,TepC2,TepC3,TepC4,TepD1,TepD2,TepD3,TepE1,OchA1,OchB1,OchB3,OchC1,OchC2,OchC3,OchC4,AnaA1,AnaA2,AnaA3,AnaA4,AnaB1,AnaB2,AnaB3,AnaB4,AnaC1,AnaC2,AnaC3,AnaD1,AnaD2,AnaD3,XanB1,XanB2,XanB3,XanB4,XanC1,XanC2,XanC3,XanD1,XanD3,XanE1,DipA1,DipB1,DipB2,DipB3,DipB4,DipB5,DipB6,DipB7,DipC1,DipC2,DipD1,DipD2,DipD3
N-Heptadecanol-1 (MeOH),16782.1,15115.26,34312.265,14313.035,4388.8625,9084,22513.4,30669.395,21419.205,23771.46,22402.65,13746.815,10556.62,18403.39,40750.515,23047.685,24932.12,17806,25090.22,20440,37997.13,8501.22,16099.29,20442.08,18527.855,19608.255,16746.545,18286,10826.23,12471.65,13866.63,10907.155,24247.435,21962,23996.36,59374.985,50582.6,63396.615,26752.805,47087.97,24627.865,91929.69,64278.43,73261.225,90764.48,88235.795,33572.575,9251.8175,29718.87,25406.59,24357.96,26911.3,38319.42,28602.985,33128.155,36393.64,16047.145,24302.5
cis-7-Hexadecenoic acid,2130.101,3037.115,3951.157,1649.74,628.7765,807.6121,1285.634,743.7016,664.6509,4266.697,895.2112,1366.303,561.4634,1602.645,1278.805,873.7989,1300.81,1124.567,1295.056,2453.775,1463.364,12346,2076.949,23040,5912.933,4903.279,2096.215,2183.82,2193.334,1167.344,1593.699,5167.225,2130.368,9249.246,11529,5051.318,5974.834,5918.482,6741.231,5557.534,11227.08,21690.18,15473.94,16783.5,29219,8842.406,13355.76,3248.421,6758,7578.594,6306.005,6406.696,5620.105,7668.766,7521.097,7916,6220.596,7614
Cyclobarbital,290.1547,332.7301,186.8103,173.2291,125.5812,70.83272,68.43252,93.52794,61.82237,210.9784,164.694,91.88087,0,75.13252,272.5769,188.4263,271.3901,230.3517,160.8043,730.4601,113.9463,2859.74,4166.274,8992,3717.773,15029,9129,7369,6973,10235,1725.657,8296,15590,28514,7369.49,10527.11,4286,10383.39,40410,18603,14648,21074,19783,3920,6640,390.0112,376.9357,922.9544,522.7937,759.6054,391.8583,435.8008,374.99,407.2422,405.492,652.3881,310.135,177.7806
"Androstane, (5?)-",274.17535,204.45101,424.15605,925.27485,638.38715,292.2621,577.73615,896.3343,1124.52085,1118.96255,1422.24225,825.3259,1079.1649,709.0573,0,2092.88275,2305.2533,499.61825,410.8814,415.982535,1535.89625,20091.305,19392.16,37769.475,15841.945,74268.59,45833.25,43388.29,34401.65,35550.725,10936.485,59164.925,103200.75,185570.25,39499.59,63954.8,29668.135,82392.015,292492.7,119844.85,100923.64,195427.25,166919.85,48304.98,80602.66,160.9489,334.57475,265.2817,166.687645,365.49125,342.2631,202.366735,415.6692,281.67759,244.7334,178.36515,248.7193,242.7435
Oleic Acid (MEOH),4591.59189,2270.853795,1579.05467,3770.12474,2132.13425,2930.127085,1901.17125,4162.9489,3284.306605,3320.425425,4296.399805,2552.983015,2599.64908,3299.836805,1035.25045,10421.8516,7399.169815,3443.059665,4592.218435,4546.054155,7273.640545,1040.61855,854.09025,3494.0503,1536.6706,15738.69945,6762.8064,9778,2694,11432.695,433.16895,1093.6575,1542.8896,6065.24065,1129.8745,6199.3524,1050.24195,3986.33845,21674.84445,7650.90845,4292.55,21204.8877,7958.6954,1638.1745,7044.2595,118.7092,93.956525,13.1435691,278.723935,298.508545,43.26177,88.597225,2033.144345,793.765445,133.25909,67.812445,1149.23063,685.202405
"Isoquinolinol-6-ol, 1[4-hydroxybenzyl]-1,2,3,4-tetrahydro-7-methoxy-",99062.045,29431.4475,103798.9275,121506.525,102651.7375,136358,178749.425,173100.3,225216.15,200992.525,333172.975,210126.875,192127.35,220534.325,121.662625,1849.69825,1064.011925,258.75985,1657.44225,142.4234,320.836525,3064.87725,523.17215,951.6379,1540.59275,228.417445,1343.85025,213.97185,111.964875,410.9800125,395.27585,107.996175,360.560105,314.476875,371.464625,552.019825,2351.67575,1100.814,3821.03225,213.5015025,322.5911075,13124.6525,242.7598,9292.42,712.04495,7309.85875,11971.947,1192.29308500073,29260.5975,48880.3725,9958.3645,31300.9925,101205.185,35698.0725,11467.68575,8570.92475,39745.2225,39395.61
"8-Octadecenoic acid,methyl ester",4911.119,4044.2445,4633.5645,3229.4619,928.11705,2843.64795,3283.34815,3278.843,4981.847,3845.8425,3714.072,2734.5195,4523.8195,3881.3615,1416.64435,4819.325,5180.463,5623.805,5489.43,5345.072,4989.726,4802.701,4792.3525,7172.807,7154.106,8886.8935,4837.063,4037.719,3804.9155,4841.249,3166.0165,9150.255,9873.855,7796.1055,8052.0175,4488.378,4254.182,3304.791,5791.1645,5313.0385,3086.5985,7383.6605,6098.235,5603.386,5761.0135,3406.9105,1782.878,825.1688,1111.2098,1202.02315,1331.433,3269.1575,3047.1633,1876.3626,1325.04585,1594.62515,1357.744,1514.22965
"9,12-Octadecadienoic acid (Z,Z)-,methyl ester (MEOH)",16076.81,13547.9633333333,18497.3,7998.31333333334,1884.547,4591.01833333333,7368.37266666667,5634.65033333333,8589.44666666667,9640.41033333333,9586.22066666667,6912.595,3760.885,5734.552,7517.57633333333,4439.05633333333,3324.394,5318.802,5439.47433333333,14634.87,5869.70833333333,22211.266,9430.28933333333,11069.8333333333,12238.0633333333,28361.79,20403.3166666667,16797.2173333333,18746.874,62025.95,10825.9093333333,43869.0666666667,28827.7066666667,37770.5866666667,44064.66,18135.5666666667,15680.5266666667,20527.1166666667,31772.4633333333,26383.1133333333,19798.0033333333,21925.4133333333,23244.5066666667,17412.7766666667,24298.0666666667,11381.45,7875.91766666667,1500.846,6388.49,4075.297,7351.62433333333,7404.30066666667,8593.82733333333,6616.63366666667,6722.97733333333,7691.80666666667,7204.08433333333,5371.63733333333
Thunbergol,6364.4198,2646.262125,4888.802825,2048.8436725,586.91809,763.55493,852.775475,659.399145,1295.555425,1413.69515,1494.095185,1697.68837,564.058125,1393.8484125,1676.88195,1424.81290875,772.921675000034,1315.4558175,818.110150001334,3644.5063925,1133.0544125,7441.01455,2674.6185,5918.9205,5805.079,24984.3075,17634.7325,14305.6575,11280.0615,27073.9325,4287.49575,13511.9505,17631.0715,38305.46,17396.70775,15683.1,7988.44675,17771.2875,79549.525,33139.03,26431.77,48456.7,22875.8025,8557.48075,11034.99,4045.733225,900.927975,667.118095,1095.573135,1327.124325,2734.380925,2274.879075,2001.22955,1521.3873,1274.675075,999.1501,1417.75974,1114.2706175
n-Nonadecanol-1,142722.033333333,165617.466666667,271495.866666667,174295.7,39637.42,134281.1,213101.433333333,187691.833333333,200316.166666667,236398.933333333,200970.533333333,169564.7,79821.8366666667,154116.566666667,189157.9,134037.433333333,130172.366666667,157027.033333333,173549.433333333,130867.833333333,177824.033333333,95176.6133333333,155282.866666667,195728.333333333,219873.733333333,209532.466666667,169778.5,142792.366666667,108178.9,101262.703333333,138966.366666667,176670.533333333,208676.9,195922.533333333,256060.233333333,244434.166666667,186881.066666667,179698.733333333,137987.133333333,231519.233333333,121146.5,239203.1,194381.433333333,272073.866666667,267003.033333333,240866.866666667,136695.2,41810.6666666667,121989.5,114391.6,156462.733333333,204206.5,211061.9,127559.233333333,125496.066666667,150487.966666667,93029.5766666667,131715.066666667
Oxymetazoline,19154.05,35119,32086,26349,15646,35943,36715,19273,45521,68097,57395,29035,33279,31966,20.9067,521.5788,270.4458,35.36057,306.2215,39.20959,89.61494,1515.159,1.075491E-07,233.807,1232.146,280.4352,816.9789,567.501,887.5247,477.437,132.7698,660.5134,1440.233,2196.88,580.6095,1770.598,1615.332,1081.036,4655.813,1855.841,1065.062,5519.39,2135.635,14502.97,1123.823,4257.154,8442.488,2913.433,16317,42177,16959.82,28503,73648,17076,8505.367,9111.359,18947,26473
"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",3407.35333333337,629.942736666667,283.655056666667,245.256073333333,226.0611,367.988,732.13662,182.65403,739.911056666667,1025.53047,599.423833333333,433.742003333333,345.73,427.525,3786.06076666667,300.203933340994,847.360200000083,94.1598033333333,246.001243333333,159.353196666667,204.976307,17596.7436666667,16442.471,15609.8513333333,20652.442,30653.727,19781.8456666667,17559.1093333333,13773,29236.6233333333,6459.60566666667,23262.2533333333,40502.6666666667,50966.28,29607.66,26087.1766666667,12915.4,22245.5966666667,91249.0633333333,38046.6666666667,29249.1833333333,46175.32,41881.1666666667,17675.8406666667,31364.9633333333,63.3505843333333,82.0529266666667,69.3210466666667,130.755913333333,202.249423333333,57.174116,195.255016,875.528693333333,177.070943333333,162.41655,97.82843,121.85609,153.486843333333
"Benzamide, 2-methoxy-N-octyl-",130293.215,232766.115,164399.68,127683.07,41935.0405,116196.53,151663.72,115434.77,216570.07,348016.81,232613.4,182999.435,86985.62,503957.15,8016.4215,19713.695,4868.272195,2241.804245,2472.06565,2265.16325,2093.4453,17320.227,12760.421,9117.5,7923.132,5239.01685,2942.01405,3187.563,4628.6705,4722.5305,2680.26335,2517.847,5352.258,13298.93,4373.3415,4278.986,5743.1515,3794.727,9086.5,4780.1985,5408.647,8918.925,4125.443,11040.5,8259.5,1871.0386,2980.08855,58392.75,8721.0137,19074.4475,11092.9245,24869.0845,57293.365,510307.86,54444.315,31486.056,52145.768,37010.8195
"Kaur-15-en-18-al,(4?)-",72.9377300173818,22.9756966667403,99.2316433353591,7.77311666933798,93.5470466666667,243.276716666667,278.569823333333,97.1491900027609,9.80267000040671,10.5030966668431,127995.871096667,42.0383966667354,100.945106334985,237573.6107,188.1194,65.1138366690307,54.2304300003907,34.1498600032634,108.056729333333,80.5041,70.886656675345,41199.1356666667,27499.2033333333,49684.25,43816.8736666667,116133.133333333,40456.78,52915.1866666667,49252.837,378478.496666667,13404.0836666667,129630.266666667,254018.163333333,326121.233333333,133653.411333333,75771.8366666667,32586.8276666667,50208.1233333333,268823.5,164179.833333333,95540.8333333333,168352.966666667,164064.933333333,55371.9326666667,75645.89,314.377517,426.48704,5791.94666333333,1124.19078,128.470512666667,357.172993333333,565.45002,849.40621,221166.729453333,545.126256666667,185.066493463414,274.554413333333,600.849343333333
"17,17-Dimethyl-18-nor-5?-androsta-1,13-diene-3?-ol",719.0974,619.8947,1682.71,702.4221,0,420.0971,184.2239,211.1772,52.63897,92.89849,244.7688,314.5354,0,169.4742,800.079,7.510212E-10,1216.47,0,2.073505E-08,135.2459,0.4456806,14315.57,13471.77,14018.23,9758.203,14921.93,11068.81,10618.3,14776.43,20914.77,3194.86,26271,31843,44279,21336,16689.35,15289,9012,45025.54,24815.6,15920,29099.74,24256.62,15997.38,14399,345.9889,0,313.8816,0,243.1945,297.8038,521.1877,280.5589,265.8093,9.635433E-10,0,0,0
