"d__Bacteria;";"p__Planctomycetota;";"c__Planctomycetes;";"o__Isosphaerales;";"f__Isosphaeraceae;";"g__Tundrisphaera;";s__uncultured_bacterium
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Sphingomonadales;";"f__Sphingomonadaceae;";g__Novosphingobium;
"d__Bacteria;";"p__Actinobacteriota;";"c__Actinobacteria;";"o__Pseudonocardiales;";"f__Pseudonocardiaceae;";g__Pseudonocardia;
"d__Bacteria;";"p__Bacteroidota;";"c__Bacteroidia;";"o__Cytophagales;";"f__Hymenobacteraceae;";"g__Hymenobacter;";s__uncultured_bacterium
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";"f__Acetobacteraceae;";"g__Acidiphilium;";s__uncultured_bacterium
"d__Bacteria;";"p__Cyanobacteria;";"c__Cyanobacteriia;";"o__Cyanobacteriales;";"f__Chroococcidiopsaceae;";"g__uncultured;";s__uncultured_bacterium
"d__Bacteria;";"p__Planctomycetota;";"c__Planctomycetes;";"o__Isosphaerales;";f__Isosphaeraceae;;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Rhizobiales;";"f__Beijerinckiaceae;";g__Methylobacterium-Methylorubrum;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";f__Acetobacteraceae;;
"d__Bacteria;";"p__Armatimonadota;";"c__Chthonomonadetes;";"o__Chthonomonadales;";"f__Chthonomonadaceae;";"g__Chthonomonas;";s__uncultured_bacterium
"d__Bacteria;";"p__Actinobacteriota;";"c__Actinobacteria;";"o__Micromonosporales;";"f__Micromonosporaceae;";"g__Actinoplanes;";s__Actinoplanes_sp.
"d__Bacteria;";"p__Planctomycetota;";"c__Planctomycetes;";"o__Isosphaerales;";"f__Isosphaeraceae;";"g__Tundrisphaera;";s__uncultured_bacterium
"d__Bacteria;";"p__Planctomycetota;";"c__Planctomycetes;";"o__Isosphaerales;";"f__Isosphaeraceae;";"g__Tundrisphaera;";s__uncultured_bacterium
"d__Bacteria;";"p__Bacteroidota;";"c__Bacteroidia;";"o__Chitinophagales;";"f__Chitinophagaceae;";g__uncultured;
"d__Bacteria;";"p__Acidobacteriota;";"c__Acidobacteriae;";"o__Acidobacteriales;";"f__Acidobacteriaceae_(Subgroup_1);";"g__Bryocella;";s__uncultured_bacterium
"d__Bacteria;";"p__Abditibacteriota;";"c__Abditibacteria;";"o__Abditibacteriales;";"f__Abditibacteriaceae;";"g__Abditibacterium;";s__uncultured_bacterium
"d__Bacteria;";"p__Acidobacteriota;";"c__Blastocatellia;";"o__Blastocatellales;";"f__Blastocatellaceae;";"g__uncultured;";s__uncultured_bacterium
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Sphingomonadales;";"f__Sphingomonadaceae;";g__Polymorphobacter;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";f__Acetobacteraceae;;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";"f__Acetobacteraceae;";"g__uncultured;";s__uncultured_bacterium
"d__Bacteria;";"p__Acidobacteriota;";"c__Acidobacteriae;";"o__Acidobacteriales;";f__Acidobacteriaceae_(Subgroup_1);;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";f__Acetobacteraceae;;
"d__Bacteria;";"p__Planctomycetota;";"c__Planctomycetes;";"o__Isosphaerales;";"f__Isosphaeraceae;";"g__uncultured;";s__uncultured_bacterium
"d__Bacteria;";"p__Bacteroidota;";"c__Bacteroidia;";"o__Chitinophagales;";"f__Chitinophagaceae;";"g__Parafilimonas;";s__uncultured_bacterium
"d__Bacteria;";"p__Proteobacteria;";"c__Gammaproteobacteria;";"o__Oceanospirillales;";"f__Halomonadaceae;";g__Halomonas;
"d__Bacteria;";"p__Proteobacteria;";"c__Gammaproteobacteria;";"o__Burkholderiales;";"f__Burkholderiaceae;";g__Burkholderia-Caballeronia-Paraburkholderia;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";f__Acetobacteraceae;;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Caulobacterales;";"f__Caulobacteraceae;";"g__uncultured;";s__uncultured_bacterium
"d__Bacteria;";"p__Bacteroidota;";"c__Bacteroidia;";"o__Cytophagales;";"f__Spirosomaceae;";g__Spirosoma;
"d__Bacteria;";"p__Acidobacteriota;";"c__Acidobacteriae;";"o__Acidobacteriales;";"f__Acidobacteriaceae_(Subgroup_1);";g__Granulicella;
"d__Bacteria;";"p__Actinobacteriota;";"c__Thermoleophilia;";"o__Solirubrobacterales;";"f__67-14;";"g__67-14;";s__metagenome
"d__Bacteria;";"p__Acidobacteriota;";"c__Acidobacteriae;";"o__Solibacterales;";"f__Solibacteraceae;";g__Candidatus_Solibacter;
"d__Bacteria;";"p__Actinobacteriota;";"c__Actinobacteria;";"o__Streptomycetales;";"f__Streptomycetaceae;";g__Streptomyces;
"d__Bacteria;";"p__Armatimonadota;";"c__Armatimonadia;";"o__Armatimonadales;";"f__Armatimonadales;";"g__Armatimonadales;";s__uncultured_soil
"d__Bacteria;";"p__Cyanobacteria;";"c__Cyanobacteriia;";"o__Cyanobacteriales;";"f__Xenococcaceae;";g__Pleurocapsa_PCC-7319;
"d__Bacteria;";"p__Bacteroidota;";"c__Bacteroidia;";"o__Chitinophagales;";"f__Chitinophagaceae;";"g__uncultured;";s__uncultured_Ferruginibacter
"d__Bacteria;";"p__Actinobacteriota;";"c__Actinobacteria;";"o__Micrococcales;";f__Intrasporangiaceae;;
"d__Bacteria;";"p__Actinobacteriota;";"c__Actinobacteria;";"o__Frankiales;";"f__Frankiaceae;";g__Jatrophihabitans;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";f__Acetobacteraceae;;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";"f__Acetobacteraceae;";"g__Acidiphilium;";s__uncultured_bacterium
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";"f__Acetobacteraceae;";"g__Acidiphilium;";s__Acetobacteraceae_bacterium
"d__Bacteria;";"p__Acidobacteriota;";"c__Acidobacteriae;";"o__Acidobacteriales;";f__Acidobacteriaceae_(Subgroup_1);;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Rhizobiales;";"f__Beijerinckiaceae;";g__1174-901-12;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Rhizobiales;";f__Beijerinckiaceae;;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Rhizobiales;";"f__Beijerinckiaceae;";"g__1174-901-12;";s__uncultured_soil
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Rhizobiales;";"f__Beijerinckiaceae;";"g__uncultured;";s__uncultured_bacterium
"d__Bacteria;";"p__Bacteroidota;";"c__Bacteroidia;";"o__Cytophagales;";"f__Hymenobacteraceae;";"g__Hymenobacter;";s__uncultured_bacterium
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Sphingomonadales;";f__Sphingomonadaceae;;
"d__Bacteria;";"p__Bacteroidota;";"c__Bacteroidia;";"o__Chitinophagales;";"f__Saprospiraceae;";g__Phaeodactylibacter;
"d__Bacteria;";"p__Actinobacteriota;";"c__Actinobacteria;";"o__Frankiales;";"f__Acidothermaceae;";"g__Acidothermus;";s__uncultured_Actinomycetales
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";f__Acetobacteraceae;;
"d__Bacteria;";"p__Armatimonadota;";"c__Armatimonadia;";"o__Armatimonadales;";"f__Armatimonadales;";"g__Armatimonadales;";s__uncultured_soil
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Caulobacterales;";"f__Caulobacteraceae;";"g__uncultured;";s__uncultured_bacterium
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";"f__Acetobacteraceae;";g__Acidiphilium;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";f__Acetobacteraceae;;
"d__Bacteria;";"p__Actinobacteriota;";"c__Actinobacteria;";"o__Streptosporangiales;";"f__Streptosporangiales_Incertae_Sedis;";"g__Motilibacter;";s__uncultured_bacterium
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";f__Acetobacteraceae;;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";f__Acetobacteraceae;;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Rhizobiales;";"f__Beijerinckiaceae;";"g__Methylocella;";s__uncultured_bacterium
"d__Bacteria;";"p__Cyanobacteria;";"c__Cyanobacteriia;";"o__Cyanobacteriales;";"f__Xenococcaceae;";"g__Pleurocapsa_PCC-7319;";s__Stanieria_sp.
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Sphingomonadales;";f__Sphingomonadaceae;;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";"f__Acetobacteraceae;";"g__Acidiphilium;";s__uncultured_soil
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Sphingomonadales;";"f__Sphingomonadaceae;";"g__Sphingomonas;";s__uncultured_eubacterium
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Sphingomonadales;";"f__Sphingomonadaceae;";g__Sphingomonas;
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Tistrellales;";"f__Geminicoccaceae;";"g__Candidatus_Alysiosphaera;";s__uncultured_bacterium
"d__Bacteria;";"p__Proteobacteria;";"c__Alphaproteobacteria;";"o__Acetobacterales;";"f__Acetobacteraceae;";"g__uncultured;";s__uncultured_bacterium
"d__Bacteria;";"p__Firmicutes;";"c__Bacilli;";"o__Bacillales;";"f__Bacillaceae;";g__Bacillus;
